,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
151912,Untitled no. 6,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2018,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 22 3/8 × 30 3/16"" (56.8 × 76.7 cm)",The Judith Rothschild Contemporary Drawings Collection Gift (by exchange),230.2024.6,Drawing,Drawings & Prints,2024-06-06,Y,467160,https://www.moma.org/collection/works/467160,,,,,,56.8,,,76.7,,
155187,Crack Box,Henry Taylor,41333,"(American, born 1958)",(American),(1958),(0),(male),2004,Acrylic and pencil on cardboard Bisquick box,"11 × 7 5/8 × 3 3/4"" (27.9 × 19.4 × 9.5 cm)",Gift of the Tilton Family Collection,240.2024,Sculpture,Drawings & Prints,2024-06-06,Y,472975,https://www.moma.org/collection/works/472975,https://www.moma.org/media/W1siZiIsIjU4MDExNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3a95e652a9ec716a,,,9.52501905,,27.9400558801,,,19.4,,
155146,Waiting Indian from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed 1970; published 1971,One from a portfolio of eight lithographs,"sheet: 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.1,Print,Drawings & Prints,2024-06-06,Y,471540,https://www.moma.org/collection/works/471540,https://www.moma.org/media/W1siZiIsIjU4MDk2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bccab6161e6b0ce7,,,,,76.2001524003,,,55.8801117602,,
155176,Untitled,Valentine Hugo,2758,"(French, 1890–1968)",(French),(1890),(1968),(female),1936,Etching with pasted detail,"plate: 4 1/8 × 3 1/8"" (10.5 × 7.9 cm); sheet (irreg.): 9 7/8 × 6 3/8"" (25.1 × 16.2 cm)",Lawrence Saphire Bequest,226.2024,Print,Drawings & Prints,2024-06-06,Y,472644,https://www.moma.org/collection/works/472644,,,,,,10.5,,,7.9,,
155173,Untitled (Mental Map: my private housing project),Franz Ackermann,22669,"(German, born 1963)",(German),(1963),(0),(male),1994,"Watercolor, bandages, pencil, and hair on paper","5 × 7 1/2"" (12.7 × 19.1 cm)",Gift from the Collection of Patricia and Morris Orden,218.2024,Drawing,Drawings & Prints,2024-06-06,Y,472627,https://www.moma.org/collection/works/472627,,,,0.0,,12.7000254001,,,19.0500381001,,
155172,Untitled (Mental Map: what happens in house #7),Franz Ackermann,22669,"(German, born 1963)",(German),(1963),(0),(male),1994,Watercolor and pencil on paper,"5 × 7 1/4"" (12.7 × 18.4 cm)",Gift from the Collection of Patricia and Morris Orden,219.2024,Drawing,Drawings & Prints,2024-06-06,Y,472626,https://www.moma.org/collection/works/472626,https://www.moma.org/media/W1siZiIsIjU4MDExMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=97b699c720147d2f,,,0.0,,12.7000254001,,,18.4150368301,,
151918,Untitled no. 12,Ralph Lemon,41328,"(American, born 1952)",(American),(1952),(0),(male),2023,"Acrylic, ink, watercolor, gouache, crayon, colored pencil, glitter, and pencil on paper.  One from a set of thirteen drawings from an ongoing series.","sheet: 38 3/16 × 50"" (97 × 127 cm)",Acquired through the generosity of Erin and Peter Hess Friedland,230.2024.12,Drawing,Drawings & Prints,2024-06-06,Y,467166,https://www.moma.org/collection/works/467166,,,,,,97.0,,,127.0002540005,,
155153,Indian at the Circus from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed 1970; published 1971,One from a portfolio of eight lithographs,"sheet: 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.8,Print,Drawings & Prints,2024-06-06,Y,471548,https://www.moma.org/collection/works/471548,https://www.moma.org/media/W1siZiIsIjU4MDk3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=26d8ea11e30371fa,,,,,76.2001524003,,,55.8801117602,,
155151,Buffalo Dancer from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed and published 1971,One from a portfolio of eight lithographs,"sheet: 30 × 22"" (76.2 × 55.9 cm)",John B. Turner Fund,237.2024.6,Print,Drawings & Prints,2024-06-06,Y,471546,https://www.moma.org/collection/works/471546,https://www.moma.org/media/W1siZiIsIjU4MDk2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5cbf031712f982f8,,,,,76.2001524003,,,55.8801117602,,
155150,Indians with Umbrellas from the portfolio Indians Forever,Fritz Scholder,5258,"(American and Luiseño, 1937–2005)",(American),(1937),(2005),(male),printed and published 1971,One from a portfolio of eight lithographs,"sheet: 22 × 30"" (55.9 × 76.2 cm)",John B. Turner Fund,237.2024.5,Print,Drawings & Prints,2024-06-06,Y,471545,https://www.moma.org/collection/works/471545,https://www.moma.org/media/W1siZiIsIjU4MDk2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=deb103058d5363a4,,,,,55.8801117602,,,76.2001524003,,
